B28010,891240,Alexander Henry HS,Secondary,145
B28010,902344,Algoma Education Connection SS,Secondary,385
B28010,19186,Anna McCrea PS,Elementary,177
B28010,67679,Arthur Henderson PS,Elementary,104
B28010,28932,Aweres PS,Elementary,95
B28010,43362,Ben R McMullin PS,Elementary,241
B28010,54542,Blind River PS,Elementary,180
B28010,891347,Central Algoma SS,Secondary,441
B28010,93548,Central Avenue PS,Elementary,175
B28010,900869,Chapleau HS,Secondary,90
B28010,101214,Chapleau PS,Elementary,119
B28010,161276,East View PS,Elementary,330
B28010,165042,Echo Bay Central PS,Elementary,124
B28010,908010,Elliot Lake SS,Secondary,432
B28010,186783,Esten Park PS,Elementary,149
B28010,186902,Etienne Brule PS,Elementary,139
B28010,202614,Francis H Clergue PS,Elementary,669
B28010,227331,Grand View PS,Elementary,261
B28010,230561,Greenwood PS,Elementary,172
B28010,237191,H M Robbins PS,Elementary,234
B28010,917370,Hornepayne HS,Secondary,65
B28010,264750,Hornepayne PS,Elementary,62
B28010,277886,Iron Bridge PS,Elementary,30
B28010,278270,Isabel Fletcher PS,Elementary,202
B28010,285552,Johnson-Tarbutt Central PS,Elementary,118
B28010,302350,Kiwedin PS,Elementary,150
B28010,920533,Korah C & VS,Secondary,829
B28010,303623,Laird Central PS,Elementary,93
B28010,926086,Michipicoten HS,Secondary,151
B28010,368490,Missarenda Consolidated PS,Elementary,
B28010,195200,Mountain View PS,Elementary,164
B28010,891150,North Shore Adolescent Education S,Secondary,19
B28010,410870,Northern Heights PS,Elementary,148
B28010,434922,Parkland PS,Elementary,247
B28010,442054,Pinewood PS,Elementary,173
B28010,462616,Queen Elizabeth PS,Elementary,214
B28010,468339,R M Moore PS,Elementary,222
B28010,485497,River View PS,Elementary,188
B28010,677523,Rockhaven School for Exceptional,Elementary,31
B28010,490822,Rosedale PS,Elementary,209
B28010,515396,Sir James Dunn PS,Elementary,154
B28010,530603,St Joseph Island Central PS,Elementary,119
B28010,958050,Superior Heights C & VS,Secondary,903
B28010,672610,Superior Heights Community Education,Elementary,29
B28010,106913,Superior Heights Intermediate E S,Elementary,131
B28010,548413,Tarentorus PS,Elementary,187
B28010,551660,Thessalon PS,Elementary,224
B28010,895270,W C Eaket SS,Secondary,230
B28010,953148,White Pines C & VS,Secondary,538
B28010,144872,White Pines Intermediate Sr E S,Elementary,39
B28010,616400,Wm Merrifield VC PS,Elementary,180
B67202,765031,Archbishop O'Sullivan Catholic S,Elementary,269
B67202,827681,Cathedrale Catholic S,Elementary,250
B67202,708011,Georges Vanier Catholic S,Elementary,314
B67202,715298,Holy Cross Catholic SS,Secondary,1224
B67202,716669,Holy Family Catholic S,Elementary,176
B67202,717703,Holy Name Catholic S,Elementary,152
B67202,865257,Holy Name of Mary Catholic S,Elementary,94
B67202,719919,Holy Rosary Catholic S,Elementary,209
B67202,735523,J J O'Neill Catholic S,Elementary,285
B67202,724068,John XXIII Catholic S,Elementary,231
B67202,728420,Loyola Community Learning Centre,Secondary,379
B67202,773875,Mother Teresa Catholic S,Elementary,283
B67202,835099,Nicholson Catholic College,Secondary,587
